,fomc,fpb,finqa,fiqa_task1,fiqa_task2,headlines,finbench,finred,refind,edtsum,banking77,causal_detection,causal_classification,ectsum,finentity,finer,fnxl,numclaim,tatqa,convfinqa,sum,subjective_qa
together_ai/meta-llama/Llama-3-70b-chat-hf,0.1001817,0.1101356999999999,1.1376396000000013,0.0558225,0.719536499999998,0.9982259999999914,0.4042547999999996,0.3836016000000004,1.3370229000000031,1.9424600999999997,1.6432604999999922,0.0733212,0.0484847999999999,1.563701400000001,0.1160495999999999,0.3295278000000007,0.2497175999999998,0.0930887999999999,1.1082725999999987,2.9608460999999977,15.375151799999989,1.1657709
together_ai/meta-llama/Llama-3-8b-chat-hf,0.0222296,0.0258744,0.2494212000000003,0.0122109999999999,0.1594892000000011,0.221871399999998,0.0944035999999998,0.0906018,0.3210782000000001,0.4335446000000005,0.3734785999999996,0.0177552,0.0107743999999999,0.3630351999999998,0.0264389999999999,0.0773278000000001,0.0582916,0.0208909999999999,0.2643028,0.6888356000000004,3.5318561999999987,0.2590602
together_ai/databricks/dbrx-instruct,0.1438415999999997,0.1657595999999997,1.503821999999997,0.0646799999999999,0.9481836000000048,1.2919271999999955,0.5580443999999981,0.5727875999999992,2.049123600000004,2.9308127999999978,2.139512400000008,0.1056179999999999,0.0953831999999999,2.4509832000000005,0.1723932,0.4688471999999993,0.3394451999999999,0.1314948,1.4739144000000015,4.1893248,21.795898800000003,1.5543612
together_ai/deepseek-ai/deepseek-llm-67b-chat,0.1040957999999999,0.1211544000000001,1.2491612999999988,0.0506663999999999,0.7551611999999995,0.8739018000000011,0.4247181000000004,0.3664413000000001,1.4454441,1.849760100000004,2.0297789999999942,0.0834678,0.0494667,0.8340039000000001,0.1287738,0.3442562999999997,0.2368097999999999,0.0936602999999999,1.1955798000000022,3.171877199999993,15.4081791,1.1657709
together_ai/google/gemma-2-27b-it,0.0794431999999999,0.0914119999999999,1.0533447999999994,0.0487944,0.6569759999999975,0.9074127999999932,0.3044951999999996,0.3416175999999999,1.3655663999999992,1.747697600000001,1.7672472,0.065172,0.0436776,1.4629656000000009,0.10572,0.2992152000000001,0.2058616000000001,0.0766784000000001,0.9952160000000002,2.8447951999999987,14.463308799999991,1.0362408
together_ai/google/gemma-2-9b-it,0.0300422999999999,0.0341637,0.3996405000000005,0.0184704,0.2447219999999997,0.3339038999999984,0.1179642,0.1358442000000001,0.5148356999999998,0.6550658999999995,0.6594039000000025,0.0262821,0.0163473,0.0,0.0406284,0.1133037,0.0825944999999998,0.0281715,0.3721470000000005,1.0767470999999993,4.900278300000001,0.3885903
together_ai/mistralai/Mistral-7B-Instruct-v0.3,0.0257724,0.0289495999999999,0.2847997999999999,0.0122482,0.1754592000000014,0.2418851999999986,0.1010018000000003,0.0897526,0.3589021999999998,0.5737797999999993,0.4815232000000012,0.018566,0.0118571999999999,0.4482841999999996,0.031569,0.0755535999999999,0.0634304,0.0236231999999999,0.2714715999999998,0.7825512000000009,4.100980400000001,0.2590602
together_ai/mistralai/Mixtral-8x22B-Instruct-v0.1,0.1406783999999999,0.1663992,1.7988252000000016,0.0748547999999999,1.0499100000000043,1.4445144,0.5813699999999993,0.5616443999999996,2.0401643999999988,3.4212983999999995,2.8932443999999995,0.1099691999999999,0.0713879999999999,2.657688000000002,0.1841268000000001,0.4761443999999994,0.3534911999999999,0.1352748,1.7331395999999983,4.901839199999998,24.795964800000004,1.5543612
together_ai/mistralai/Mixtral-8x7B-Instruct-v0.1,0.0768522,0.0867108000000001,0.8780760000000007,0.0363275999999999,0.5314343999999989,0.6956508000000018,0.3023507999999996,0.3016686000000001,1.073400600000003,1.7197002000000017,1.502141400000004,0.0559781999999999,0.0530033999999999,1.2963929999999997,0.0927702,0.2404547999999997,0.1992414000000001,0.0689166,0.8728523999999998,2.5534602000000013,12.63738360000001,0.7771806
together_ai/Qwen/Qwen2-72B-Instruct,0.1037475,0.1185165,1.2941811,0.0534411,0.741216599999996,0.9576828000000024,0.4310792999999993,0.4251204000000007,1.4357502000000002,2.356193700000001,1.6127352,0.0807624,0.0532332,1.8027648000000005,0.1226565,0.3440861999999999,0.2355435000000002,0.0959049,1.182812399999999,3.405384000000001,16.8528123,1.1657709
together_ai/microsoft/WizardLM-2-8x22B,0.1638611999999998,0.1887048,1.9400316,0.0795827999999999,1.0653900000000007,1.4686200000000011,0.6147647999999991,0.6050820000000001,2.24276040000001,3.4702740000000025,3.004876800000005,0.1131876,0.1025639999999999,2.8458839999999994,0.1796723999999999,0.4887036000000001,0.3402143999999998,0.1427232,1.9419084,5.3143128000000015,26.31311880000002,1.5543612
together_ai/deepseek-ai/DeepSeek-V3,0.1278762499999999,0.1468737500000001,1.5737462500000006,0.07297,0.981467499999999,1.3569349999999982,0.5161999999999984,0.5408425000000004,2.097029999999993,2.993555000000002,2.55052625,0.1063862499999999,0.06064875,2.331388750000001,0.1629975,0.5481687499999996,0.2848099999999999,0.11786,1.56201,4.282901249999993,22.415193749999982,1.61912625
together_ai/deepseek-ai/DeepSeek-r1,1.9946359999999996,2.095387,14.175133000000006,1.4793940000000003,17.823904000000027,20.107744999999987,6.626599000000006,12.645486000000002,31.002881000000013,21.147910000000014,23.27856300000004,3.749472999999999,1.0625650000000002,15.019101999999991,7.313054000000002,8.336139000000003,11.21413300000001,1.875461,13.723486000000008,39.420675,254.0917260000001,9.067107
together_ai/Qwen/QwQ-32B-Preview,0.1526532,0.1786392,2.382632399999999,0.0774132,0.9301728000000016,1.3728887999999968,0.5956548000000023,0.683241600000001,2.179676399999998,3.118845599999997,2.355171600000004,0.1092575999999999,0.0733655999999999,2.7582059999999986,0.1448544,0.6504804000000003,0.5424743999999996,0.1408824,2.6051064000000004,7.826215200000004,28.877832,1.5543612
ai21/jamba-1.5-mini,0.0244853999999999,0.0282861999999999,0.2983287999999999,0.0160215999999999,0.2297075999999996,0.2193683999999988,0.0956444000000001,0.0783993999999999,0.4405395999999991,0.5450019999999992,0.5062861999999995,0.0247504,0.0118655999999999,0.4872814000000003,0.0459416,0.1023823999999998,0.0676163999999999,0.0231618,0.2457620000000001,0.7224592000000015,4.213290399999996,0.25906260000000003
ai21/jamba-1.5-large,0.3088860000000001,0.3606059999999996,4.424655999999998,0.2959120000000002,3.4690519999999854,4.808164000000008,1.7802240000000016,0.935457999999999,4.974435999999999,5.802127999999992,5.505414000000001,0.3487440000000001,0.1263999999999999,7.074234000000003,0.562712,1.6651360000000004,0.7710440000000005,0.2957259999999999,2.868927999999998,7.453257999999985,53.83111799999997,2.590674
anthropic/claude-3-5-sonnet-20240620,0.6178140000000002,0.7222859999999997,6.980544000000001,0.547743,6.496284,8.809475999999915,3.444885000000021,3.2091359999999978,12.322383000000029,9.500175000000006,11.111937000000008,0.6114660000000001,0.2162729999999998,7.089552000000001,0.9018120000000006,3.006635999999998,1.792161,0.5662980000000004,9.177395999999996,16.859660999999964,103.98391799999996,3.886047
anthropic/claude-3-haiku-20240307,0.0574895,0.0662717499999999,0.5600445000000001,0.0455615,0.5417919999999993,0.7344567500000044,0.2823999999999993,0.2516292499999999,0.8187365000000004,0.814077500000001,0.8994447499999965,0.0507467499999999,0.0180227499999999,0.2114035000000001,0.06235975,0.2300742500000001,0.13962175,0.0486325,0.6406200000000006,1.2773337499999975,7.750718999999999,0.32383725
cohere_chat/command-r7b-12-2024,0.0075259875,0.008575275,0.0776848125,0.00482955,0.0656939249999999,0.0889379625,0.03598335,0.0278493374999999,0.1058032875000002,0.1066690500000001,0.101157975,0.0063802875,0.0017729999999999,0.0832400624999999,0.0071329124999999,0.0253159875,0.0145252875,0.0062495624999999,0.07850055,0.1904010000000004,1.0442291625000006,0.048575137500000004
cohere_chat/command-r-plus-08-2024,0.4059624999999999,0.4549650000000002,5.402187500000018,0.3474099999999999,4.409494999999999,4.003967500000009,2.30278,0.9279125000000004,3.8734524999999977,7.031300000000011,7.214904999999996,0.4290025,0.1182,5.552287499999995,0.4779875000000001,1.6887225,0.9697025000000004,0.4155674999999995,4.59398,10.087940000000026,60.70772750000005,3.2383425
gemini/gemini-1.5-pro-latest,0.2334400000000001,0.2145562500000002,2.255992500000003,0.1804137499999999,2.1950912499999977,2.78239375,1.0215587499999994,0.4899087499999996,2.2741475000000064,3.4527625000000075,2.696968750000012,0.20608125,0.0650887500000001,2.651378750000001,0.2493024999999999,0.8705262500000004,0.5834499999999998,0.2104274999999999,2.1294050000000024,5.782268749999996,30.54516250000003,1.61917125
openai/gpt-4o-2024-08-06,0.3467975000000001,0.4139950000000003,4.990342499999999,0.3160525000000001,4.450747499999993,5.3321025,1.5548649999999986,1.2147174999999988,5.765369999999998,6.574652499999994,4.996532499999988,0.3479425000000001,0.13655,4.847982500000002,0.4412474999999999,1.9391450000000008,0.95725,0.3444824999999995,4.951110000000001,10.364587500000027,60.28647250000001,3.2383425
openai/o1-mini,0.8960236999999995,0.9002345000000002,5.247710600000001,0.7252520000000008,9.696610000000009,12.204294300000011,3.2721326000000017,4.887721300000002,13.596470800000032,1.2868581000000006,9.286840200000029,2.5561547000000004,0.7458923999999999,3.1779032999999988,2.9226813000000043,1.9066036,6.39165999999999,0.923443399999999,6.968830000000002,15.707161800000014,103.30047860000008,1.4248707000000003
